1,மைனாவே மைனாவே,தித்திக்குதே,2002,வைரமுத்து,"உன்னிகிருஷ்ணன்,சாதனா சர்கம்","மைனாவே மைனாவே
 என் கனவில் தினம் தினம்கேட்கும் பாடல் நீதானா
விண்மீனாய் தொலைந்த மகள்
வெண்நிலவாய் வந்தாளா
"
2,அஞ்சாதே ஜீவா,ஜோடி,1999,வைரமுத்து, சீர்காழி G சிவசிதம்பரம்,"அஞ்சாதே ஜீவா
நெஞ்சோடு வா வா
ஆனந்த பூவே அன்பே வா ஜல்
அஞ்சாதே ஜீவா
"
3,ஒரு பொய்யாவது சொல் கண்ணே,ஜோடி,1999,வைரமுத்து,ஹாிஹரண்,"ஒரு பொய்யாவது சொல் கண்ணே
உன் காதல் நான் தான் என்று
அந்த சொல்லில் உயிா் வாழ்வேன்
"
4,சோனியா சோனியா,ரட்சகன்,1997,வைரமுத்து,"உதித் நாராயணன்,","சோனியா சோனியா
சொக்க வைக்கும் சோனியா
காதலில் நீ எந்த வகை கூறு
காதலிலே ரெண்டு வகை
சைவம் உண்டு அசைவம் உண்டு
ரெண்டில் நீ எந்த வகை கூறு
"
5,காற்றே பூங்காற்றே,காற்றே பூங்காற்றே,2003,பா.விஜய்,KS சித்ரா,"தென்றலாய் வருகிறேன்
பூக்களாய் பூக்கவா
வார்த்தையாய் வருகிறேன்
பாடலாய் பாடவா
"
6,கண்ணாமூச்சி ஏனடா,கண்டுகொண்டேன் கண்டுகொண்டேன்,2000,வைரமுத்து,KS சித்ரா,"கண்ணாமூச்சி ஏனடா
என் கண்ணா
நான் கண்ணாடிப்
பொருள் போலடா
"
7,கொஞ்சும் மைனாக்களே,கண்டுகொண்டேன் கண்டுகொண்டேன்,2000,வைரமுத்து,ஷாதனா சர்கம்,"கொஞ்சும் மைனாக்களே
கொஞ்சும் மைனாக்களே
என் குரல் கேட்டு ஒன்று கூடுங்கள்
"
8,இரவா பகலா,பூவெல்லாம் கேட்டுப்பார்,1999,பழனி பாரதி,ஹரிஹரண்,"இரவா பகலா குளிரா வெயிலா
என்னை ஒன்றும் செய்யாதடி
கடலா புயலா இடியா மழையா
என்னை ஒன்றும் செய்யாதடி
"
9,ஓ சென்யோரீட்டா,பூவெல்லாம் கேட்டுப்பார்,1999,பழனி பாரதி,ஹரிஹரண்,"ஓ சென்யோரீட்டா
பேசும் மெழுகு பொம்மையே
ஓ சென்யோரீட்டா
பேசும் மெழுகு பொம்மையே
"
10,அழகான ராட்சசியே,முதல்வன்,1999,வைரமுத்து,SP பாலசுப்ரமண்யம்,"அழகான ராட்சசியே
அடி நெஞ்சில் குதிக்கிறியே
முட்டாசு வாா்த்தையிலே
பட்டாசு வெடிக்கிறியே
அடி மனச அருவாமனையில்
நறுக்குறியே
"
11,முதல்வனே என்னை கண் பாராய்,முதல்வன்,1999,வைரமுத்து,சங்கா் மகாதேவன்," முதல்வனே என்னை கண் பாராய்
முந்தானை கொடியேற்ற நேரமில்லையா
ஓ காதல் பஞ்சம் வந்து நொந்தேனே
முத்த நிவாரணம் எனக்கில்லையா
வாளின் ஓசை கேட்கும் தலைவா
வளையல் ஓசை கேட்கவில்லையா
முதல்வா… முதல்வா
"
12,குறுக்கு சிறுத்தவளே,முதல்வன்,1999,வைரமுத்து,ஹாிஹரண்,"குறுக்கு சிறுத்தவளே
என்னை குங்குமத்தில் கறைச்சவளே
நெஞ்சில் மஞ்ச தேச்சிக் குளிக்கையில்
என்னைக் கொஞ்சம் பூசு தாயே
உன் கொலுசுக்குள் மணியாக
என்னைக் கொஞ்சம் மாத்து தாயே
"
13,பார்த்துப் பார்த்து,நீ வருவாய் என,1999,பா.விஜய்,SP பாலசுப்ரமணியம்,"பார்த்துப் பார்த்துக்
கண்கள் பூத்திருப்பேன்
நீ வருவாயென
பூத்துப் பூத்துப்
புன்னகை சேர்த்து வைப்பேன்
நீ வருவாயென
"
14,ஒருவன் ஒருவன் முதலாளி,முத்து,1995,வைரமுத்து,SP பாலசுப்ரமணியம்,"ஒருவன் ஒருவன் முதலாளி
உலகில் மற்றவன் தொழிலாளி
விதியை நினைப்பவன் ஏமாளி
அதை வென்று முடிப்பவன் அறிவாளி
"
15,தாண்டியா ஆட்டமும் ஆட,காதலர் தினம்,1999,வாலி,"உன்னி மேனன், MG ஸ்ரீகுமார்","தாண்டியா ஆட்டமும் ஆட
தசராக் கூட்டமும் கூட
குஜராத் குமரிகளாட
காதலன் காதலிய தேட
"
16,தாண்டியா ஆட்டமும் ஆட,காதலர் தினம்,1999,வாலி,"உன்னி மேனன், MG ஸ்ரீகுமார்","தாண்டியா ஆட்டமும் ஆட
தசராக் கூட்டமும் கூட
குஜராத் குமரிகளாட
காதலன் காதலிய தேட
"
17,நெனச்சபடி நெனச்சபடி,காதலர் தினம்,1999,வாலி,"ஸ்ரீனிவாஸ், MG ஸ்ரீகுமார்","நெனச்சபடி நெனச்சபடி
மாப்பிள்ள அமைஞ்சதடி
நெனச்சபடி நெனச்சபடி
மாப்பிள்ள அமைஞ்சதடி
உனக்கெனப் பிறந்தானோ
உயிருடன் கலந்தானோ
உனக்கெனப் பிறந்தானோ
உயிருடன் கலந்தானோ
"
18,தன்னானே தாமரைப்பூ,பெரியண்ணா,1999,அறிவுமதி,SP பாலசுப்ரமணியம்,"பச்சோல கீத்துகுள்ள
பதுங்கி நிக்குற பசங்களுக்கு
மறைஞ்சி நிக்குற
பருவம் வந்துருச்சு
மாமனுக்கு செய்யும் சீரும்
செலவும் வந்துருச்சு
"
19,செம்பருத்தி பூவே,காதல் சொல்ல வந்தேன்,1999,பா.விஜய்,ஹரிஹரன்,"செம்பருத்தி பூவே
செம்பருத்தி பூவே
உள்ளம் அள்ளி போனாய்
நினைவில்லையா
"
20,எத்தனை ஜென்மம் எடுத்தாலும்,நீ வேணுண்டா செல்லம்,2006,பா.விஜய்,ஹரிஷ் ராகவேந்திரா,"எத்தனை ஜென்மம் எடுத்தாலும்
என்னுயிர் என்றும் உன்னை சேரும்
ஆண்: எத்தனை காலம் வாழ்ந்தாலும்
என்னுயிர் சுவாசம் உனதாகும்
"
21,ஒரு நாளும் உனை மறவாத,எஜமான்,1993,உதயக்குமார்,"SP பாலசுப்ரமணியம்,","ஒரு நாளும் உனை மறவாத
இனிதான வரம் வேண்டும்
உறவாலும் உடல் உயிராலும்
பிரியாத வரம் வேண்டும்
"
22,தாமரைப் பூவுக்கும்,பசும்பொன்,1995,வைரமுத்து,கிருஷ்ணச்சந்திரன்,"தாமரைப் பூவுக்கும்
தண்ணிக்கும் என்னைக்கும்
சண்டையே வந்ததில்ல
மாமன அள்ளி நீ
தாவணி போட்டுக்க
மச்சினி யாரும் இல்ல
"
23,பாரதிக்கு கண்ணம்மா,பிரியமுடன்,1998,ரா.ரவிசங்கர்,SP பாலசுப்ரமணியம்,"பாரதிக்கு கண்ணம்மா
நீ எனக்கு உயிரம்மா
நேற்றைக்கு நீ தந்த
பார்வைக்கு பக்தன் இங்கே
"
